 initial abundance for selected isotopes
  515   0.00000E+00  TI 52
  516   0.00000E+00  TI 53
  517   0.00000E+00  TI 54
  518   0.00000E+00  TI 55
  519   0.00000E+00  TI 56
  520   0.00000E+00  TI 57
  521   0.00000E+00  TI 58
  522   0.00000E+00  TI 59
  523   0.00000E+00  TI 60
  524   0.00000E+00  TI 61
  525   0.00000E+00  TI 62
  526   0.00000E+00  TI 63
  527   0.00000E+00  TI 64
  528   0.00000E+00  TI 65
  529   0.00000E+00  TI 66
  530   0.00000E+00  TI 67
  531   0.00000E+00  TI 68
  532   0.00000E+00  TI 69
  533   0.00000E+00  TI 70
  534   0.00000E+00  TI 71
  535   0.00000E+00  TI 72
  536   0.00000E+00  TI 73
  537   0.00000E+00  TI 74
  538   0.00000E+00  TI 75
  539   0.00000E+00  TI 76
  540   0.00000E+00  TI 77
  541   0.00000E+00  TI 78
  542   0.00000E+00  TI 79
  543   0.00000E+00  TI 80
  544   0.00000E+00  V  36
  545   0.00000E+00  V  37
  546   0.00000E+00  V  38
  547   0.00000E+00  V  39
  548   0.00000E+00  V  40
  549   0.00000E+00  V  41
  550   0.00000E+00  V  42
  551   0.00000E+00  V  43
  552   0.00000E+00  V  44
  553   0.00000E+00  V  45
  554   0.00000E+00  V  46
  555   0.00000E+00  V  47
  556   0.00000E+00  V  48
  557   0.00000E+00  V  49
  558   0.00000E+00  V  50
  559   0.00000E+00  V  51
  560   0.00000E+00  V  52
  561   0.00000E+00  V  53
  562   0.00000E+00  V  54
  563   0.00000E+00  V  55
  564   0.00000E+00  V  56
  565   0.00000E+00  V  57
  566   0.00000E+00  V  58
  567   0.00000E+00  V  59
  568   0.00000E+00  V  60
  569   0.00000E+00  V  61
  570   0.00000E+00  V  62
  571   0.00000E+00  V  63
  572   0.00000E+00  V  64
  573   0.00000E+00  V  65
  574   0.00000E+00  V  66
  575   0.00000E+00  V  67
  576   0.00000E+00  V  68
  577   0.00000E+00  V  69
  578   0.00000E+00  V  70
  579   0.00000E+00  V  71
  580   0.00000E+00  V  72
  581   0.00000E+00  V  73
  582   0.00000E+00  V  74
  583   0.00000E+00  V  75
  584   0.00000E+00  V  76
  585   0.00000E+00  V  77
